name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium
Chicken Stir-Fry,http://allrecipes.com/recipe/223382/chicken-stir-fry/,"""A quick and easy dish to prepare, this chicken stir-fry is packed with veggies. Try adding bean sprouts, bamboo shoots, snap peas, or any of your favorite vegetables. Serve it with white or brown rice, or noodles.""",Katie Sechrist,30 m,35 m,1 h 20 m,,"Bring rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender, and liquid has been absorbed, 20 to 25 minutes.
Combine soy sauce, brown sugar, and corn starch in a small bowl; stir until smooth. Mix ginger, garlic, and red pepper into sauce; coat chicken with marinade and refrigerate for at least 15 minutes.
Heat 1 tablespoon sesame oil in a large skillet over medium-high heat. Cook and stir bell pepper, water chestnuts, broccoli, carrots, and onion until just tender, about 5 minutes. Remove vegetables from skillet and keep warm.
Remove chicken from marinade, reserving liquid. Heat 1 tablespoon sesame oil in skillet over medium-high heat. Cook and stir chicken until slightly pink on the inside, about 2 minutes per side; return vegetables and reserved marinade to skillet. Bring to a boil; cook and stir until chicken is no longer pink in the middle and vegetables are tender, 5 to 7 minutes. Serve over rice.",4.50056123733521,655,700 ,6 servings,12.1,76.7,67.7,161,1790
Chicken Tikka Masala,http://allrecipes.com/recipe/45736/chicken-tikka-masala/,"""This is an easy recipe for Chicken Tikka Masala--chicken marinated in yogurt and spices and then served in a tomato cream sauce. Serve with rice or warm pita bread.""",Yakuta,30 m,50 m,2 h 20 m,,"In a large bowl, combine yogurt, lemon juice, 2 teaspoons cumin, cinnamon, cayenne, black pepper, ginger, and salt. Stir in chicken, cover, and refrigerate for 1 hour.
Preheat a grill for high heat.
Lightly oil the grill grate. Thread chicken onto skewers, and discard marinade. Grill until juices run clear, about 5 minutes on each side.
Melt butter in a large heavy skillet over medium heat. Saute garlic and jalapeno for 1 minute. Season with 2 teaspoons cumin, paprika, and 3 teaspoons salt. Stir in tomato sauce and cream. Simmer on low heat until sauce thickens, about 20 minutes. Add grilled chicken, and simmer for 10 minutes. Transfer to a serving platter, and garnish with fresh cilantro.",4.38416862487793,2110,404 ,4 servings,28.9,13.3,24.6,143,1592
Soba Noodle Salad with Chicken and Sesame,http://allrecipes.com/recipe/245993/soba-noodle-salad-with-chicken-and-sesame/,"""This tasty salad with Japanese buckwheat noodles is both quick and healthy; great for lunch or dinner. Most larger supermarkets have buckwheat soba noodles in the Asian food section.""",donrmath,20 m,7 m,27 m,"5444, 5445, 5446, 5447, 5448, 5449","Whisk rice vinegar, 1 tablespoon vegetable oil, sesame oil, brown sugar, soy sauce, and ginger together in a large bowl until dressing is combined.
Bring water to a boil in a large pot. Add soba noodles, stir, and return water to a boil. Boil noodles until tender, 4 to 5 minutes. Drain noodles in a colander under cold running water until cool, about 1 minute.
Heat 2 teaspoons vegetable oil in a skillet over medium heat. Cook chicken breast pieces until no longer pink in the center and the juices run clear, 2 to 4 minutes. Add garlic, salt, and pepper; stir until fragrant, about 1 minute more.
Toss soba noodles, chicken, celery, carrot, red pepper, cilantro, green onion, and sesame seeds together with dressing in large bowl.",4.72222232818604,15,339 ,3 servings (3 cups ),15.2,38.3,15.5,23,704
Mulligatawny Soup I,http://allrecipes.com/recipe/13087/mulligatawny-soup-i/,"""The name Mulligatawny means 'pepper water', and curry is the particular ingredient that gives this incredible soup such a delicious flavor...so I'm told. This old recipe was given to me long ago.""",Lise P.,20 m,1 h,1 h 20 m,"5450, 5451, 5452, 5453, 5454","Saute onions, celery, carrot, and butter in a large soup pot. Add flour and curry, and cook 5 more minutes. Add chicken stock, mix well, and bring to a boil. Simmer about 1/2 hour.
Add apple, rice, chicken, salt, pepper, and thyme. Simmer 15-20 minutes, or until rice is done.
When serving, add hot cream.",4.80206966400146,1151,223 ,6 servings,15.8,13.5,6.9,62,734
Egg Drop Soup (Better than Restaurant Quality!),http://allrecipes.com/recipe/115965/egg-drop-soup-better-than-restaurant-quality/,"""After many many trips to different Chinese restaurants looking for a good bowl of egg drop soup, I decided to take it upon myself to create what I feel is the ultimate in egg drop soup. I hope you enjoy it as much as I do!""",Darren,5 m,5 m,10 m,,"In a small saucepan, combine the chicken broth, soy sauce and sesame oil. Bring to a boil. Stir together the cornstarch and water to dissolve cornstarch; pour into the boiling broth. Stir gently while you pour in the egg and yellow food coloring if using. Season with chives, salt and pepper before serving.",4.45413875579834,360,112 ,1 servings (1 cup),6.7,4.8,7.5,191,1396
Asian Orange Chicken,http://allrecipes.com/recipe/61024/asian-orange-chicken/,"""A delicious citrus chicken recipe with flavors reminiscent of the orange chicken from a popular restaurant in the mall.""",HARRY WETZEL,40 m,40 m,3 h 20 m,"5455, 5456, 5457, 5458, 5459","Pour 1 1/2 cups water, orange juice, lemon juice, rice vinegar, and soy sauce into a saucepan and set over medium-high heat. Stir in the orange zest, brown sugar, ginger, garlic, chopped onion, and red pepper flakes. Bring to a boil. Remove from heat, and cool 10 to 15 minutes.
Place the chicken pieces into a resealable plastic bag. When contents of saucepan have cooled, pour 1 cup of sauce into bag. Reserve the remaining sauce. Seal the bag, and refrigerate at least 2 hours.
In another resealable plastic bag, mix the flour, salt, and pepper. Add the marinated chicken pieces, seal the bag, and shake to coat.
Heat the olive oil in a large skillet over medium heat. Place chicken into the skillet, and brown on both sides. Drain on a plate lined with paper towels, and cover with aluminum foil.
Wipe out the skillet, and add the sauce. Bring to a boil over medium-high heat. Mix together the cornstarch and 2 tablespoons water; stir into the sauce. Reduce heat to medium low, add the chicken pieces, and simmer, about 5 minutes, stirring occasionally.",4.44884490966797,1360,445 ,4 servings,11.2,68.7,17.8,34,763
The Best Thai Coconut Soup,http://allrecipes.com/recipe/146035/the-best-thai-coconut-soup/,"""Authentic, bold, and delicious Thai flavors make this soup irresistible! This is the best Thai coconut soup I've had. You won't be disappointed with this one! Serve over steamed rice.""",Jessica,35 m,30 m,1 h 5 m,"5460, 5461, 5462, 5463, 5464, 5465, 5466, 5467","Heat the oil in a large pot over medium heat. Cook and stir the ginger, lemongrass, and curry paste in the heated oil for 1 minute. Slowly pour the chicken broth over the mixture, stirring continually. Stir in the fish sauce and brown sugar; simmer for 15 minutes. Stir in the coconut milk and mushrooms; cook and stir until the mushrooms are soft, about 5 minutes. Add the shrimp; cook until no longer translucent about 5 minutes. Stir in the lime juice; season with salt; garnish with cilantro.",4.61697721481323,765,375 ,8 servings,33.2,9.4,13.7,89,1059
Nuoc Cham (Vietnamese Spicy Dipping Sauce),http://allrecipes.com/recipe/230330/nuoc-cham-vietnamese-spicy-dipping-sauce/,"""This sauce can be used for dipping veggies, meats, or egg rolls. It's also great spooned over a bowl of steaming hot pho or other rice noodle soup. For me this sauce IS the flavor of Vietnamese cooking. Enjoy! This can be stored in the fridge for up to two weeks.""",CJ,5 m,5 m,1 h 10 m,"5468, 5469, 5470","Stir water, chile peppers, garlic, fish sauce, rice vinegar, and sugar together in a saucepan over medium-low heat until sugar dissolves into the liquid; remove from heat and set aside to cool completely, about 1 hour.
Stir lemon juice into the cooled liquid.",5,1,36 ,10 servings,0.1,8.7,0.9,0,441
Sesame Pasta Chicken Salad,http://allrecipes.com/recipe/18327/sesame-pasta-chicken-salad/,"""A refreshing light pasta salad with a delicious Asian flair. Great for a summer cookout or picnic. Tastes great right away, and even better if you can allow it to marinate for a while.""",ohines,20 m,10 m,30 m,,"Heat a skillet over medium-high heat. Add sesame seeds, and cook stirring frequently until lightly toasted. Remove from heat, and set aside.
Bring a large pot of lightly salted water to a boil. Add pasta, and cook for 8 to 10 minutes, or until al dente. Drain pasta, and rinse under cold water until cool. Transfer to a large bowl.
In a jar with a tight-fitting lid, combine vegetable oil, soy sauce, vinegar, sesame oil, sugar, sesame seeds, ginger, and pepper. Shake well.
Pour sesame dressing over pasta, and toss to coat evenly. Gently mix in chicken, cilantro, and green onions.",4.45090341567993,936,349 ,10 servings,15.2,38.3,15.9,24,308
Japanese Zucchini and Onions,http://allrecipes.com/recipe/87651/japanese-zucchini-and-onions/,"""Zucchini and onions are stir fried with sesame seeds and teriyaki and soy sauces.""",MichelleB,10 m,10 m,20 m,"5471, 5472, 5473, 5474","Warm the oil in a large skillet over medium heat. Stir in onions, and cook 5 minutes. Add zucchini, and cook, stirring, about 1 minute. Stir in teriyaki sauce, soy sauce, and sesame seeds. Cook until zucchini are tender, about 5 minutes. Stir in ground pepper, and serve immediately.",4.52621746063232,373,110 ,4 servings,8.2,8.1,2.7,0,581
Iranian / Persian Salad Shirazi,http://allrecipes.com/recipe/239818/iranian-persian-salad-shirazi/,"""An excellent light side salad to accompany a heavy Persian meal or any meal really. Sumac is the red bitter spice usually served for sprinkling on kebab. It's available at most Middle Eastern stores, but if you can't find it just leave it out. I like to dice the veggies very small about 1/4-inch. Serve with fresh lemon wedges.""",Autumn Leaves,20 m
Restaurant Style Beef and Broccoli,http://allrecipes.com/recipe/191156/restaurant-style-beef-and-broccoli/,"""This is my go-to recipe when I want Chinese food without having to go out. Very easy and delicious. Substituting chicken for the beef works great too. Serve over rice.""",Dianne,15 m,15 m,1 h,"5475, 5476, 5477, 5478, 5479, 5480, 5481, 5482, 5483","Whisk together the oyster sauce, sesame oil, sherry, soy sauce, sugar, and cornstarch in a bowl, and stir until the sugar has dissolved. Place the steak pieces into a shallow bowl, pour the oyster sauce mixture over the meat, stir to coat well, and marinate for at least 30 minutes in refrigerator.
Heat vegetable oil in a wok or large skillet over medium-high heat, and stir in the ginger and garlic. Let them sizzle in the hot oil for about 1 minute to flavor the oil, then remove and discard. Stir in the broccoli, and toss and stir in the hot oil until bright green and almost tender, 5 to 7 minutes. Remove the broccoli from the wok, and set aside.
Pour a little more oil into the wok, if needed, and stir and toss the beef with the marinade until the sauce forms a glaze on the beef, and the meat is no longer pink, about 5 minutes. Return the cooked broccoli to the wok, and stir until the meat and broccoli are heated through, about 3 minutes.",4.43083906173706,653,331 ,4 servings,21.1,13.3,21.7,52,419
Slow Cooker Jambalaya (Vegan),http://allrecipes.com/recipe/238662/slow-cooker-jambalaya-vegan/,"""A good meal to freeze and throw in the slow cooker on a busy day. I prefer the rice cooked separately. You can substitute Creole seasoning for the Cajun seasoning and bok choy for the celery, if desired.""",Maggie Huffman,25 m,4 h 30 m,4 h 55 m,"5484, 5485, 5486, 5487, 5488, 5489, 5490, 5491, 5492","Drizzle the bottom of a 4-quart slow cooker crock with olive oil. Stir tomatoes with juice, seitan, sausage, onion, green bell pepper, celery, vegetable broth, garlic, miso paste, Cajun seasoning, thyme, and oregano into crock.
Cook on Low for 4 hours. Add rice to the crock and cook on High until rice is cooked through, about 30 minutes more. Garnish with parsley.",4.64285707473755,13,334 ,6 servings,10.3,40.8,19.9,0,965
Parmesan-Crusted Pork Chops,http://allrecipes.com/recipe/247066/parmesan-crusted-pork-chops/,"""Pork chops with a delicious Parmesan cheese crust.""",Chelsey Seamon,10 m,35 m,45 m,"5493, 5494","Preheat oven to 350 degrees F (175 degrees C). Spray a baking dish with cooking spray.
Whisk egg in a shallow bowl.
Mix Parmesan cheese and Cajun seasoning together on a plate.
Dip each pork chop into egg. Press into Parmesan mixture until coated on both sides. Place in the prepared baking dish.
Bake in the preheated oven until golden and an instant-read thermometer inserted into the center reads at least 145 degrees F (63 degrees C), 35 to 40 minutes.",4.67460298538208,96,246 ,2 servings,12.5,1.2,30.5,161,459
Cajun Chicken Pasta,http://allrecipes.com/recipe/8778/cajun-chicken-pasta/,"""Cajun cooking is a combination of French and Southern cuisine. It is robust, country style cookery - and so is this dish! Laissez le bon temp roulez and bon appetit!""",Carol Spradling,20 m,20 m,40 m,,"Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.
Place the chicken and the Cajun seasoning in a plastic bag. Shake to coat. In a large skillet over medium heat, saute the chicken in butter or margarine until almost tender (5 to 7 minutes).
Add the red bell pepper, green bell pepper, mushrooms and green onion. Saute and stir for 2 to 3 minutes. Reduce heat.
Add the cream, basil, lemon pepper, salt, garlic powder and ground black pepper. Heat through. Add the cooked linguine, toss and heat through. Sprinkle with grated Parmesan cheese and serve.",4.71567249298096,1542,935 ,2 servings,61.7,54,43.7,271,1189
Cajun Spice Mix,http://allrecipes.com/recipe/149221/cajun-spice-mix/,"""This is a mildly hot Cajun spice mix you make yourself with common spices from your pantry. For those who like it hotter, add the optional crushed red pepper. This makes a great oven Cajun hashbrowns!""",DiamondLil,5 m
Cajun Shrimp,http://allrecipes.com/recipe/229120/cajun-shrimp/,"""Shrimp seasoned with paprika, thyme, oregano, garlic, and red pepper.""",SlimCookins,5 m,5 m,10 m,,"Combine paprika, thyme, oregano, garlic powder, salt, pepper, and cayenne pepper in a sealable plastic bag; shake to mix. Add shrimp and shake to coat.
Heat oil in a large non-stick skillet over medium high heat. Cook and stir shrimp in hot oil until they are bright pink on the outside and the meat is no longer transparent in the center, about 4 minutes.",4.76595735549927,94,166 ,4 servings,5,0.9,28,259,443
Bourbon Chicken,http://allrecipes.com/recipe/9025/bourbon-chicken/,"""A favorite named after Bourbon Street in New Orleans, Louisiana and for the bourbon whiskey ingredient; although this dish, sold as Cajun-style cuisine in malls all over America, is reported to be nothing of the kind (not genuine Creole or Cajun fare)! Note: If you double the recipe, make sure that the chicken is still in a single layer. Laissez les bons temps rouler!""",Lucy Loo
Easy Cajun Jambalaya,http://allrecipes.com/recipe/31833/easy-cajun-jambalaya/,"""I have always loved Cajun foods but my wife doesn't like the 'kick.'  In response to this, I made my traditional Jambalaya without the heat. Everyone loved this recipe and I hope you will to. Enjoy!""",Grant Michel,15 m,30 m,45 m,"5495, 5496, 5497, 5498, 5499, 5500","Heat oil in a large pot over medium high heat. Saute chicken and kielbasa until lightly browned, about 5 minutes. Stir in onion, bell pepper, celery and garlic. Season with cayenne, onion powder, salt and pepper. Cook 5 minutes, or until onion is tender and translucent. Add rice, then stir in chicken stock and bay leaves. Bring to a boil, then reduce heat, cover, and simmer 20 minutes, or until rice is tender. Stir in the Worcestershire sauce and hot pepper sauce.",4.4825177192688,537,488 ,6 servings (6 Servings),13.8,58.5,29.1,74,1082
Blackened Chicken,http://allrecipes.com/recipe/8571/blackened-chicken/,"""Great on a summer's day with fresh corn and mashed potatoes.""",Karena,10 m,10 m,20 m,,"Preheat oven to 350 degrees F (175 degrees C). Lightly grease a baking sheet. Heat a cast iron skillet over high heat for 5 minutes until it is smoking hot.
Mix together the paprika, salt, cayenne, cumin, thyme, white pepper, and onion powder. Oil the chicken breasts with cooking spray on both sides, then coat the chicken breasts evenly with the spice mixture.
Place the chicken in the hot pan, and cook for 1 minute. Turn, and cook 1 minute on other side. Place the breasts on the prepared baking sheet.
Bake in the preheated oven until no longer pink in the center and the juices run clear, about 5 minutes.",4.36812686920166,714,135 ,2 servings,3,0.9,24.7,67,205
Good New Orleans Creole Gumbo,http://allrecipes.com/recipe/216888/good-new-orleans-creole-gumbo/,"""I am going to give you my gumbo recipe. I learned to cook from my mother and grandmother who were born and raised in New Orleans and really knew how to cook. Most of the time, you could not get them to write down their recipes because they used a 'pinch' of this and 'just enough of that' and 'two fingers of water,' and so on. This recipe is a combination of both of their recipes which I have added to over the years. Serve over hot cooked rice. The gumbo can be frozen or refrigerated and many people like it better the next day. Bon appetit!""",dailyrecipedoctor,1 h,2 h 40 m,3 h 40 m,,"Make a roux by whisking the flour and 3/4 cup bacon drippings together in a large, heavy saucepan over medium-low heat to form a smooth mixture. Cook the roux, whisking constantly, until it turns a rich mahogany brown color. This can take 20 to 30 minutes; watch heat carefully and whisk constantly or roux will burn. Remove from heat; continue whisking until mixture stops cooking.
Place the celery, onion, green bell pepper, and garlic into the work bowl of a food processor, and pulse until the vegetables are very finely chopped. Stir the vegetables into the roux, and mix in the sausage. Bring the mixture to a simmer over medium-low heat, and cook until vegetables are tender, 10 to 15 minutes. Remove from heat, and set aside.
Bring the water and beef bouillon cubes to a boil in a large Dutch oven or soup pot. Stir until the bouillon cubes dissolve, and whisk the roux mixture into the boiling water. Reduce heat to a simmer, and mix in the sugar, salt, hot pepper sauce, Cajun seasoning, bay leaves, thyme, stewed tomatoes, and tomato sauce. Simmer the soup over low heat for 1 hour; mix in 2 teaspoons of file gumbo powder at the 45-minute mark.
Meanwhile, melt 2 tablespoons of bacon drippings in a skillet, and cook the okra with vinegar over medium heat for 15 minutes; remove okra with slotted spoon, and stir into the simmering gumbo. Mix in crabmeat, shrimp, and Worcestershire sauce, and simmer until flavors have blended, 45 more minutes. Just before serving, stir in 2 more teaspoons of file gumbo powder.",4.89759016036987,537,296 ,20 servings,17.9,12.1,20.9,144,855
Ann's Shrimp Etouffee,http://allrecipes.com/recipe/25861/anns-shrimp-etouffee/,"""Delicious shrimp dish with a Cajun flair!  I've spent 6 years perfecting this shrimp recipe. I use shrimp harvested from a local shrimp farm. This is also great with firm crab meat or fish!!""",Ann Cooper,30 m,1 h 40 m,2 h 25 m,"5501, 5502, 5503, 5504, 5505","In a large skillet, melt butter and saute onions, celery and garlic for about 45 minutes or until they are cooked down.
Stir in flour and cook briefly, do not brown. Stir in chopped shrimp and cook for 20 minutes.
Pour in 2 to 3 cups of water and mushrooms. Stir in  paprika and season with salt, pepper and red pepper flakes. Cook for 30 minutes. Should be a thick and have a gravy-like consistency.",4.57563018798828,188,205 ,20 servings,11,3.9,22.9,204,328
Simple Baked Chicken Breasts,http://allrecipes.com/recipe/240208/simple-baked-chicken-breasts/,"""Simple basic recipe for cooking up a bunch of skinless boneless chicken breasts.""",Always Cooking Up Something,15 m,25 m,40 m,,"Preheat convection oven to 400 degrees F (200 degrees C).
Rub chicken breasts with olive oil and sprinkle both sides with salt and Creole seasoning. Place chicken in a broiler pan.
Bake in the preheated oven for 10 minutes. Flip chicken and cook until no longer pink in the center and the juices run clear, about 15 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
Remove chicken from pan. Pour water into the pan, while scraping the browned bits of food off of the bottom of the pan with a wooden spoon. Add more water if needed to dislodge the browned bits; serve alongside chicken.",4.61943340301514,187,191 ,4 servings,9.6,0.1,24.5,67,1418
Chef John's Shrimp Etouffee,http://allrecipes.com/recipe/236320/chef-johns-shrimp-etouffee/,"""We're going to use this spicy and delicious New Orleans classic to demonstrate that it is possible to get good results from using waterlogged frozen shrimp, which unfortunately is sometimes the only option. To make them work we've got to use a few tricks. I prefer this with little chunks of browned chicken or pork, actually.""",Chef John,35 m,20 m,1 h 15 m,"5506, 5507, 5508, 5509, 5510, 5511, 5512, 5513","Whisk paprika, thyme, oregano, cayenne pepper, garlic powder, onion powder, white pepper, and black pepper together in a small bowl.
Drain shrimp in a colander for at least 15 minutes. Transfer to a bowl lined with paper towels and dry shrimp for about 3 minutes. Remove paper towels from bowl and season shrimp with 1 teaspoon salt and 1 teaspoon spice blend. Toss to coat shrimp with spice blend.
Heat vegetable oil a large heavy skillet over high heat until oil is smoking hot. Cook shrimp in the hot oil without stirring for 1 minute; stir, and cook 1 minute more.
Transfer shrimp to a large bowl. Let stand until juice forms in bowl. Strain shrimp juices into chicken stock to total 2 cups, adding more chicken stock if necessary.
Melt butter in large skillet over medium heat until butter begins to turn tan at the edges. Saute onion, celery, and green pepper in hot butter until softened, about 5 minutes. Pour in remaining spice blend.
Sprinkle flour into vegetable mixture and saute until combined, 3 to 4 minutes. Stir in tomatoes; cook until tomato juices begin to brown on bottom of pan, about 3 minutes. Whisk stock into vegetable mixture, stirring until smooth. Bring to a simmer and cook until slightly thickened and reduced to a gravy consistency, 3 to 5 minutes. Stir in Worcestershire sauce and hot sauce. Season with salt to taste.
Stir shrimp into etouffee sauce; let simmer until shrimp are cooked all the way through and no longer translucent, about 1 minute.
Garnish with green onions and a dusting of cayenne pepper. Pour over rice in large, shallow bowls.",4.77697849273682,218,424 ,4 servings,14.7,30.2,40.8,369,1114
Cajun Seafood Pasta,http://allrecipes.com/recipe/11688/cajun-seafood-pasta/,"""This recipe is a hot one, but delicious!   If you are weak of tongue, then divide the amounts of peppers in half.  Better to add more than spoil your creation!  Bay scallops are preferred, but the larger sea scallops can be used if they are cut in half.  This dish can also be placed in a casserole dish and placed under the broiler until top turns golden brown!""",Star Pooley
Gumbo Style Chicken Creole,http://allrecipes.com/recipe/24789/gumbo-style-chicken-creole/,"""Delicious chicken gumbo consistency with tomato base.  Makes plenty to last for several days. Serve over hot cooked rice and sprinkle with filé powder, if desired.""",SMFLRN,15 m,45 m,1 h,"5514, 5515, 5516, 5517, 5518","Heat oil in a large skillet over high heat. Stir in flour and cook, stirring constantly, for 5 minutes or until mixture is the color of a copper penny. Reduce heat to low and stir in bell pepper and onion. Cook 10 to 15 minutes, or until tender, stirring occasionally.
Add chicken, tomatoes with green chile peppers, mushrooms, parsley, Worcestershire sauce, garlic, soy sauce, sugar, salt, pepper and hot sauce. Stir together, cover and simmer for 20 minutes.",4.48516941070557,348,167 ,5 servings (4 to 6 servings),3.3,14.7,19.8,48,807
Creole Coffee ,http://allrecipes.com/recipe/220117/creole-coffee/,"""Good and simple. Rich, dark-roast coffee and chicory, molasses, and cream makes for a delicious cup of coffee.""",Jackie G.,5 m
Cajun Corn and Bacon Maque Choux,http://allrecipes.com/recipe/141585/cajun-corn-and-bacon-maque-choux/,"""This is a Cajun recipe I've had forever! I first prepared it when I was in my high school class in Metairie, Louisiana. It's awesome!""",Jodi Hanlon,35 m,30 m,1 h 5 m,"5519, 5520, 5521, 5522, 5523","Cut corn off the cobs by thinly slicing across the tops of the kernels; place in a medium bowl. Cut across the kernels again to release milk from the corn, add milk to bowl. Set aside.
Heat the oil in a large skillet over medium-high heat. Add onion and green pepper, cook until onion is transparent, about 5 to 8 minutes. Combine corn, tomatoes, and milk with the onion mixture. Reduce heat to medium low, and cook 20 minutes longer, stirring frequently to prevent sticking. Do not boil. Season with salt and cayenne pepper. Lower heat, cover skillet, and cook 5 to 10 minutes longer. Stir in green onions and bacon. Remove from heat and serve.",4.64406776428223,46,211 ,6 servings,11.1,22.8,8.6,14,307
Colleen's Slow Cooker Jambalaya,http://allrecipes.com/recipe/73634/colleens-slow-cooker-jambalaya/,"""This recipe came about from a lot of experimenting over the years. My family and friends like this version the best. Serve over cooked rice.""",Colleen Murtaugh,20 m,8 h,8 h 20 m,,"In a slow cooker, mix the chicken, sausage, tomatoes with juice, onion, green bell pepper, celery, and broth. Season with oregano, parsley, Cajun seasoning, cayenne pepper, and thyme.
Cover, and cook 7 to 8 hours on Low, or 3 to 4 hours on High. Stir in the shrimp during the last 30 minutes of cook time.",4.43368005752563,1718,235 ,12 servings,13.6,6.1,20.2,99,688
Cindy's Jambalaya,http://allrecipes.com/recipe/214381/cindys-jambalaya/,"""This is a tradition here in the South. You can add anything you like to this basic recipe. You can add crawfish, chicken pieces, make it all sausage. You decide what you like and add it in!""",Cindy in Pensacola,20 m,45 m,1 h 10 m,,"Heat the olive oil in a Dutch oven or large pot over medium heat. Stir in the sausage, and cook for 2 minutes. Add the onion, bell pepper, and celery; season with salt and Cajun seasoning. Cook and stir until the vegetables are soft, 6 to 8 minutes. Stir in the rice until evenly coated in the vegetable mixture, then pour in the tomatoes with juice, garlic, chicken broth, bay leaves, and thyme leaves. Bring to a simmer over medium-high heat, then reduce heat to medium-low, cover, and simmer 20 minutes.
After 20 minutes, stir in the shrimp, and cook 10 minutes uncovered until the shrimp turn pink and are no longer translucent in the center. Remove the pot from the heat, and let stand 5 minutes. Discard the bay leaves before serving.",4.73775672912598,466,284 ,8 servings,11.5,24.6,18.4,107,889
Jambalaya,http://allrecipes.com/recipe/31848/jambalaya/,"""Spicy jambalaya with chicken and andouille sausage.""",Terri,20 m,45 m,1 h 5 m,"5524, 5525, 5526, 5527, 5528, 5529, 5530, 5531","Heat 1 tablespoon of peanut oil in a large heavy Dutch oven over medium heat. Season the sausage and chicken pieces with Cajun seasoning. Saute sausage until browned. Remove with slotted spoon, and set aside. Add 1 tablespoon peanut oil, and saute chicken pieces until lightly browned on all sides. Remove with a slotted spoon, and set aside.
In the same pot, saute onion, bell pepper, celery and garlic until tender. Stir in crushed tomatoes, and season with red pepper, black pepper, salt, hot pepper sauce, Worcestershire sauce and file powder. Stir in chicken and sausage. Cook for 10 minutes, stirring occasionally.
Stir in the rice and chicken broth. Bring to a boil, reduce heat, and simmer for 20 to 25 minutes, or until liquid is absorbed.",4.72727251052856,540,465 ,6 servings,19.8,42.4,28.1,73,1633
Chicken Andouille Gumbo,http://allrecipes.com/recipe/12950/chicken-andouille-gumbo/,"""Sausage makes this very spicy. Can be prepared two days ahead.""",Christine L.,10 m,3 h 10 m,3 h 20 m,"5532, 5533, 5534, 5535","Combine water and chicken in large pot. Bring to boil. Reduce heat and simmer until chicken is tender, about 1 hour. Using tongs, transfer chicken to strainer and cool, saving cooking liquid. Remove meat from bones in pieces.
Heat 2 tablespoons oil in heavy skillet over medium heat. Add okra and cook until no longer sticky, stirring frequently, about 20 minutes; set aside.
Stir flour and remaining 1/2 cup oil in heavy large Dutch oven. Cook over medium heat until deep golden brown, stirring frequently, about 6 minutes. Add 4 cups reserved chicken cooking broth, okra, andouille sausage, tomatoes with their juices, bell pepper, celery, garlic, bay leaf, salt, thyme, basil, cayenne, and pepper. Cover partially and simmer until thickened, about 1 1/2 hours.
Spoon off any fat from surface of gumbo. Add chicken and file powder to gumbo and simmer gently 15 minutes. (If preparing ahead, cover and refrigerate. Bring to simmer before serving.) Mound rice in shallow bowls if desired. Ladle gumbo over and serve.",4.6139817237854,246,782 ,8 servings,60.8,18.5,39.7,157,1419
Boudreaux's Zydeco Stomp Gumbo,http://allrecipes.com/recipe/21392/boudreauxs-zydeco-stomp-gumbo/,"""Dis is da toe curlin Texicajun hybrid of a classic dish. This will put a smile on everyone's face that's eatin it. Throw on some Zydeco music and serve on a bed of rice with corn bread and a cold beer. Whew doggie...be thankful to be alive and toast all us Texicajuns!!!""",Lupe Boudreaux,1 h,1 h,2 h,"5536, 5537, 5538, 5539, 5540, 5541, 5542, 5543, 5544, 5545","Heat oil in a medium skillet over medium high heat, and cook chicken until no longer pink and juices run clear. Stir in sausage, and cook until evenly browned. Drain chicken and sausage, and set aside.
In a large, heavy saucepan over medium heat, blend olive oil and flour to create a roux. Stir constantly until browned and bubbly. Mix in garlic, and cook about 1 minute.
Gradually stir chicken broth and beer into the roux mixture. Bring to a boil, and mix in celery, tomatoes, sweet onion, diced tomatoes with green chile peppers, red chile peppers, parsley, and Cajun seasoning. Reduce heat, cover, and simmer about 40 minutes, stirring often.
Mix chicken, sausage, and shrimp into the broth mixture. Cook, stirring frequently, about 20 minutes.",4.70192289352417,548,437 ,10 servings,29.3,18.5,21.7,105,2052
Hudson's Baked Tilapia with Dill Sauce,http://allrecipes.com/recipe/74169/hudsons-baked-tilapia-with-dill-sauce/,"""Baked tilapia seasoned with Cajun and citrus served with a creamy sauce of fresh dill and lemon.""",KHUDSON3,10 m,20 m,30 m,"5546, 5547","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.
Season the tilapia fillets with salt, pepper and Cajun seasoning on both sides. Arrange the seasoned fillets in a single layer in the baking dish. Place a layer of lemon slices over the fish fillets. I usually use about 2 slices on each piece so that it covers most of the surface of the fish.
Bake uncovered for 15 to 20 minutes in the preheated oven, or until fish flakes easily with a fork.
While the fish is baking, mix together the mayonnaise, sour cream, garlic powder, lemon juice and dill in a small bowl. Serve with tilapia.",4.53321361541748,792,284 ,4 servings,18.6,5.7,24.5,59,501
